Species,Aquatic,Herbivorous,Nocturnal,Scansorial,Fossorial,Large,Terrestrial,Archetype
Ablepharus bivittatus,0,0,0.001,0.979,0,0.02,0,Scansorial
Ablepharus budaki,0,0,0,0,0,0.109,0.891,Terrestrial
Ablepharus chernovi,0,0,0,0.98,0.001,0,0.019,Scansorial
Ablepharus deserti,0,0,0,0,0,0.165,0.835,Terrestrial
Ablepharus grayanus,0,0,0,0.012,0,0.022,0.966,Terrestrial
Ablepharus kitaibelii,0,0,0,0,0,0.161,0.839,Terrestrial
Ablepharus pannonicus,0,0,0,0,0,0.146,0.854,Terrestrial
Ablepharus rueppellii,0,0,0,0,0,0.132,0.868,Terrestrial
Abronia graminea,0.003,0,0.012,0.815,0,0.171,0,Scansorial
Abronia vasconcelosii,0.003,0,0.014,0.787,0,0.196,0,Scansorial
Acanthocercus adramitanus,0.005,0,0.024,0.634,0,0.337,0,Scansorial
Acanthocercus annectens,0.005,0,0.023,0.644,0,0.328,0,Scansorial
Acanthocercus atricollis,0.005,0,0.026,0.607,0,0.362,0,Scansorial
Acanthocercus cyanogaster,0.005,0,0.025,0.614,0,0.356,0,Scansorial
Acanthocercus phillipsii,0.004,0,0.017,0.738,0,0.241,0,Scansorial
Acanthocercus yemensis,0,0.732,0,0,0,0.268,0,Herbivorous
Acanthodactylus aegyptius,0,0,0,0,0,0.151,0.849,Terrestrial
Acanthodactylus aureus,0,0,0,0,0,0.227,0.773,Terrestrial
Acanthodactylus beershebensis,0,0,0,0,0,0.287,0.713,Terrestrial
Acanthodactylus blanci,0,0,0,0,0,0.3,0.7,Terrestrial
Acanthodactylus blanfordii,0,0,0,0,0,0.242,0.758,Terrestrial
Acanthodactylus boskianus,0,0,0,0,0,0.3,0.7,Terrestrial
Acanthodactylus cantoris,0,0,0,0,0,0.298,0.702,Terrestrial
Acanthodactylus dumerilii,0,0,0,0,0,0.217,0.783,Terrestrial
Acanthodactylus erythrurus,0,0,0,0,0,0.271,0.729,Terrestrial
Acanthodactylus felicis,0,0,0,0,0,0.207,0.793,Terrestrial
Acanthodactylus gongrorhynchatus,0,0,0,0,0,0.207,0.793,Terrestrial
Acanthodactylus grandis,0,0,0,0,0,0.321,0.679,Terrestrial
Acanthodactylus haasi,0.001,0,0.004,0.939,0,0.056,0,Scansorial
Acanthodactylus longipes,0,0,0,0,0,0.207,0.793,Terrestrial
Acanthodactylus maculatus,0,0,0,0,0,0.196,0.804,Terrestrial
Acanthodactylus masirae,0,0,0,0,0,0.151,0.849,Terrestrial
Acanthodactylus micropholis,0,0,0,0,0,0.207,0.793,Terrestrial
Acanthodactylus opheodurus,0,0,0,0,0,0.196,0.804,Terrestrial
Acanthodactylus pardalis,0,0,0,0,0,0.248,0.752,Terrestrial
Acanthodactylus robustus,0,0,0,0,0,0.25,0.75,Terrestrial
Acanthodactylus schmidti,0,0.531,0,0,0,0.241,0.228,Herbivorous
Acanthodactylus schreiberi,0,0,0,0,0,0.296,0.704,Terrestrial
Acanthodactylus scutellatus,0,0,0,0,0,0.273,0.727,Terrestrial
Acanthodactylus senegalensis,0,0,0,0,0,0.186,0.814,Terrestrial
Acanthodactylus tilburyi,0,0,0,0,0,0.207,0.793,Terrestrial
Acanthodactylus tristrami,0,0,0,0,0,0.3,0.7,Terrestrial
Acanthosaura armata,0.005,0,0.022,0.669,0,0.305,0,Scansorial
Acanthosaura capra,0.005,0,0.022,0.669,0,0.305,0,Scansorial
Acanthosaura coronata,0.003,0,0.013,0.808,0,0.177,0,Scansorial
Acanthosaura crucigera,0.005,0,0.024,0.639,0,0.332,0,Scansorial
Acanthosaura lepidogaster,0.004,0,0.017,0.743,0,0.237,0,Scansorial
Acanthosaura nataliae,0,0.691,0,0,0,0.309,0,Herbivorous
Acanthosaura phuketensis,0.004,0,0.019,0.708,0,0.268,0,Scansorial
Acontias gariepensis,0,0,0.012,0,0.947,0.041,0,Fossorial
Acontias kgalagadi,0,0,0,0,0.915,0.086,0,Fossorial
Acontias meleagris,0,0,0,0,0.848,0.152,0,Fossorial
Acontias plumbeus,0,0,0,0,0.772,0.228,0,Fossorial
Acratosaura mentalis,0,0,0,0,0,0.18,0.82,Terrestrial
Adolfus africanus,0.001,0,0.005,0.93,0,0.064,0,Scansorial
Adolfus alleni,0,0,0,0,0,0.225,0.775,Terrestrial
Adolfus jacksoni,0.002,0,0.01,0.845,0,0.143,0,Scansorial
Adolfus masavaensis,0,0,0,0,0,0.167,0.833,Terrestrial
Aeluroscalabotes felinus,0,0,0.892,0,0,0.108,0,Nocturnal
Afroedura africana,0.001,0,0.003,0.956,0,0.041,0,Scansorial
Afroedura halli,0,0,0.921,0,0.015,0,0.063,Nocturnal
Afroedura karroica,0,0,0.919,0,0.016,0,0.065,Nocturnal
Afroedura pondolia,0,0,0.001,0.981,0,0.017,0,Scansorial
Afrogecko porphyreus,0,0,0.851,0,0.029,0,0.12,Nocturnal
Agama aculeata,0,0.512,0,0,0,0.309,0.179,Herbivorous
Agama agama,0,0.705,0,0,0,0.295,0,Herbivorous
Agama anchietae,0.005,0,0.022,0.669,0,0.305,0,Scansorial
Agama armata,0,0.53,0,0,0,0.245,0.225,Herbivorous
Agama atra,0,0.724,0,0,0,0.276,0,Herbivorous
Agama boueti,0,0.518,0,0,0,0.288,0.194,Herbivorous
Agama caudospinosa,0.005,0,0.025,0.618,0,0.351,0,Scansorial
Agama etoshae,0,0,0,0,0,0.302,0.698,Terrestrial
Agama hispida,0,0,0,0,0,0.422,0.578,Terrestrial
Agama impalearis,0.004,0,0.021,0.683,0,0.292,0,Scansorial
Agama kirkii,0.004,0,0.018,0.731,0,0.247,0,Scansorial
Agama knobeli,0.005,0,0.022,0.669,0,0.305,0,Scansorial
Agama lionotus,0,0.713,0,0,0,0.286,0,Herbivorous
Agama montana,0.003,0,0.013,0.794,0,0.19,0,Scansorial
Agama mossambica,0.004,0,0.018,0.718,0,0.26,0,Scansorial
Agama mwanzae,0,0.687,0,0,0,0.313,0,Herbivorous
Agama paragama,0.004,0,0.017,0.745,0,0.234,0,Scansorial
Agama persimilis,0,0,0,0,0,0.229,0.771,Terrestrial
Agama planiceps,0,0.709,0,0,0,0.291,0,Herbivorous
Agama rueppelli,0,0,0,0,0,0.331,0.669,Terrestrial
Agama spinosa,0,0.752,0,0,0,0.248,0,Herbivorous
Agama sylvana,0.003,0,0.016,0.759,0,0.222,0,Scansorial
Agamura persica,0,0,0.441,0,0,0.105,0.454,Terrestrial
Ailuronyx seychellensis,0,0.566,0.346,0,0,0.088,0,Herbivorous
Ailuronyx tachyscopaeus,0,0.617,0.376,0,0,0.007,0,Herbivorous
Ailuronyx trachygaster,0,0.502,0.307,0,0,0.191,0,Herbivorous
Alexandresaurus camacan,0,0,0,0,0,0.227,0.773,Terrestrial
Algyroides fitzingeri,0,0,0,0.946,0.003,0,0.051,Scansorial
Algyroides marchi,0,0,0,0,0,0.157,0.843,Terrestrial
Algyroides moreoticus,0,0,0,0.982,0.001,0,0.017,Scansorial
Algyroides nigropunctatus,0.001,0,0.005,0.919,0,0.075,0,Scansorial
Alopoglossus angulatus,0,0,0,0,0,0.204,0.796,Terrestrial
Alopoglossus atriventris,0,0,0,0,0,0.161,0.839,Terrestrial
Alopoglossus buckleyi,0,0,0,0,0,0.196,0.804,Terrestrial
Alopoglossus copii,0,0,0,0,0,0.265,0.735,Terrestrial
Alopoglossus festae,0,0,0,0,0,0.205,0.794,Terrestrial
Alopoglossus viridiceps,0,0,0,0,0,0.204,0.796,Terrestrial
Alsophylax laevis,0,0,0.761,0,0.046,0,0.193,Nocturnal
Alsophylax loricatus,0,0,0.341,0,0,0,0.659,Terrestrial
Alsophylax pipiens,0,0,0.791,0,0.04,0,0.169,Nocturnal
Alsophylax przewalskii,0,0,0.744,0,0.049,0,0.207,Nocturnal
Alsophylax szczerbaki,0,0,0.718,0,0.054,0,0.227,Nocturnal
Alsophylax tadjikiensis,0,0,0.328,0,0,0,0.672,Terrestrial
Altiphylax baturensis,0,0,0.894,0,0.02,0,0.086,Nocturnal
Altiphylax levitoni,0,0,0.814,0,0.036,0,0.15,Nocturnal
Altiphylax stoliczkai,0,0,0.874,0,0.024,0,0.102,Nocturnal
Altiphylax tokobajevi,0,0,0.447,0,0,0.001,0.552,Terrestrial
Amalosia jacovae,0,0,0.901,0,0.019,0,0.08,Nocturnal
Amalosia lesueurii,0,0,0.986,0,0.003,0,0.011,Nocturnal
Amalosia obscura,0,0,0.904,0,0.018,0,0.078,Nocturnal
Amalosia rhombifer,0,0,0.986,0,0.003,0,0.011,Nocturnal
Amapasaurus tetradactylus,0,0,0,0.005,0,0,0.995,Terrestrial
Amblyrhynchus cristatus,0.815,0,0,0,0,0.185,0,Aquatic
Ameiva ameiva,0,0,0,0,0,0.53,0.47,Large
Ameiva atrigularis,0,0,0,0,0,0.503,0.497,Large
Ameiva bifrontata,0,0,0,0,0,0.4,0.599,Terrestrial
Ameiva pantherina,0,0,0,0,0,0.445,0.555,Terrestrial
Ameiva parecis,0,0,0,0,0,0.308,0.692,Terrestrial
